기간	대분류	분류	주거환경	경제환경	사회환경	교육환경
2019	가구원수	1인	6.39	5.34	6.03	5.75
2019	가구원수	2인	6.45	5.57	6.04	5.75
2019	가구원수	3인	6.32	5.56	5.91	5.61
2019	가구원수	4인	6.36	5.63	5.99	5.65
2019	가구원수	5인 이상	6.55	5.55	6.08	5.92
2019	소득	100 만원 미만	6.29	4.81	5.95	5.56
2019	소득	100-200만 미만	6.26	5	5.91	5.62
2019	소득	200-300만 미만	6.45	5.44	5.99	5.71
2019	소득	300-400만 미만	6.47	5.74	6.08	5.84
2019	소득	400-500만 미만	6.25	5.53	6	5.7
2019	소득	500만원 이상	6.45	5.73	6.01	5.72
2019	지역대분류	도심권	6.3	5.56	6.02	5.91
2019	지역대분류	동북권	6.31	5.44	5.96	5.63
2019	지역대분류	서북권	6.41	5.43	6.08	5.76
2019	지역대분류	서남권	6.43	5.52	5.93	5.67
2019	지역대분류	동남권	6.47	5.62	6.13	5.84
2019	종로구	종로구	6.43	5.68	5.99	5.98
2019	중구	중구	6.39	5.22	5.89	5.53
2019	용산구	용산구	6.16	5.67	6.11	6.09
2019	성동구	성동구	6.47	5.42	5.92	5.84
2019	광진구	광진구	6.68	5.78	6.38	5.97
2019	동대문구	동대문구	6.43	5.8	6.04	5.39
2019	중랑구	중랑구	6.39	5.6	6.21	5.96
2019	성북구	성북구	5.99	5.1	5.6	5.31
2019	강북구	강북구	6.2	5.02	5.67	5.41
2019	도봉구	도봉구	6.45	5.52	5.87	5.75
2019	노원구	노원구	6.07	5.3	5.98	5.48
2019	은평구	은평구	6.19	5.25	5.9	5.55
2019	서대문구	서대문구	6.38	5.29	6.19	5.78
2019	마포구	마포구	6.69	5.76	6.19	6
2019	양천구	양천구	6.44	5.71	5.69	5.64
2019	강서구	강서구	6.11	5.29	6.12	5.65
2019	구로구	구로구	6.63	5.63	6.12	5.84
2019	금천구	금천구	6.08	5.32	5.59	5.32
2019	영등포구	영등포구	6.34	5.74	5.87	5.75
2019	동작구	동작구	6.54	5.18	6.05	5.7
2019	관악구	관악구	6.71	5.72	5.88	5.68
2019	서초구	서초구	6.65	5.69	5.91	5.76
2019	강남구	강남구	6.4	5.48	6.15	5.96
2019	송파구	송파구	6.67	5.84	6.38	6.03
2019	강동구	강동구	6.09	5.39	5.91	5.47
2020	서울시	서울시	6.36	5.35	5.99	5.69
2020	성별	남자	6.41	5.41	6	5.71
2020	성별	여자	6.26	5.22	5.98	5.66
2020	연령별	20대 이하	6.03	5.02	5.91	5.59
2020	연령별	30대	5.99	5	5.67	5.51
2020	연령별	40대	6.17	5.01	5.81	5.48
2020	연령별	50대	6.42	5.41	6	5.7
2020	연령별	60대 이상	6.74	5.82	6.31	5.96
2020	학력별	중졸 이하	6.63	5.61	6.25	5.83
2020	학력별	고졸 이하	6.36	5.39	5.99	5.76
2020	학력별	대졸이하	6.27	5.23	5.91	5.63
2020	학력별	대학원 이상	6.27	5.36	5.91	5.48
2020	주택형태	단독주택	6.2	5.2	5.9	5.59
2020	주택형태	아파트	6.63	5.59	6.13	5.8
2020	주택형태	다세대주택	6.15	5.25	5.88	5.64
2020	주택형태	연립/기타	6.08	4.98	5.84	5.59
2020	입주형태	자가	6.67	5.83	6.19	5.87
2020	입주형태	전세	6.42	5.51	6.03	5.74
2020	입주형태	월세/기타	5.9	4.58	5.69	5.41
2020	가구원수	1인	6.04	4.87	5.81	5.54
2020	가구원수	2인	6.65	5.75	6.18	5.89
2020	가구원수	3인	6.52	5.55	6.09	5.81
2020	가구원수	4인	6.41	5.53	5.98	5.6
2020	가구원수	5인 이상	6.17	5.1	5.81	5.49
2020	소득	100 만원 미만	5.81	4.21	5.78	5.16
2020	소득	100-200만 미만	6.17	4.99	5.82	5.66
2020	소득	200-300만 미만	6.21	5.08	5.81	5.56
2020	소득	300-400만 미만	6.34	5.36	5.89	5.68
2020	소득	400-500만 미만	6.57	5.62	6.08	5.83
2020	소득	500만원 이상	6.6	5.84	6.22	5.87
2020	지역대분류	도심권	6.32	5.34	5.91	5.67
2020	지역대분류	동북권	6.3	5.27	5.94	5.59
2020	지역대분류	서북권	6.35	5.53	5.95	5.58
2020	지역대분류	서남권	6.33	5.32	5.96	5.71
2020	지역대분류	동남권	6.51	5.43	6.15	5.89
2020	종로구	종로구	6.1	5.19	5.76	5.67
2020	중구	중구	6.43	5.52	6.01	5.51
2020	용산구	용산구	6.41	5.34	5.94	5.77
2020	성동구	성동구	6.3	5.09	5.95	5.63
2020	광진구	광진구	6.03	5.09	5.94	5.7
2020	동대문구	동대문구	6.1	5.16	5.86	5.55
2020	중랑구	중랑구	6.52	5.53	5.91	5.52
2020	성북구	성북구	6.45	5.23	6.06	5.6
2020	강북구	강북구	6.22	5.25	5.88	5.52
2020	도봉구	도봉구	6.31	5.37	5.89	5.55
2020	노원구	노원구	6.41	5.35	6	5.64
2020	은평구	은평구	6.37	5.57	5.93	5.49
2020	서대문구	서대문구	6.21	5.56	5.94	5.7
2020	마포구	마포구	6.44	5.47	6	5.58
2020	양천구	양천구	6.29	5.47	5.91	5.72
2020	강서구	강서구	6.37	5.13	6.11	5.64
2020	구로구	구로구	6.59	5.54	5.93	5.72
2020	금천구	금천구	6.32	5.15	5.83	5.67
2020	영등포구	영등포구	6.38	5.5	6.14	5.98
2020	동작구	동작구	6.27	5.25	5.95	5.7
2020	관악구	관악구	6.16	5.24	5.81	5.63
2020	서초구	서초구	6.59	5.24	6.06	5.88
2020	강남구	강남구	6.44	5.38	6.27	5.84
2020	송파구	송파구	6.48	5.39	6.07	5.87
2020	강동구	강동구	6.57	5.74	6.23	5.97
